Signature;diameter;average distance;number_of_connections
"C(351; 1, 28)";13;8,84;8181177
"C(351; 1, 53)";13;8,84;8181177
"C(351; 1, 55)";13;8,84;8181177
"C(351; 1, 80)";13;8,84;8181177
"C(351; 1, 82)";13;8,84;8181177
"C(351; 1, 107)";13;8,84;8181177
"C(351; 1, 109)";13;8,84;8181177
"C(351; 1, 134)";13;8,84;8181177
"C(351; 1, 136)";13;8,84;8181177
"C(351; 1, 161)";13;8,84;8181177
"C(351; 1, 163)";13;8,84;8181177
"C(352; 1, 26)";13;8,85185;7711649
"C(353; 1, 127)";13;8,86364;8401083
"C(353; 1, 164)";13;8,86364;8401083
"C(354; 1, 110)";13;8,87535;7005075
"C(355; 1, 77)";13;8,88701;8696501
"C(355; 1, 83)";13;8,88701;8696501
"C(356; 1, 138)";13;8,89859;8009047
"C(357; 1, 56)";13;8,91011;8669181
"C(358; 1, 54)";13;8,92157;7733385
"C(359; 1, 76)";13;8,93296;8929053
"C(359; 1, 137)";13;8,93296;8929053
"C(360; 1, 82)";13;8,94429;8176767
"C(361; 1, 110)";13;8,95556;8976774
"C(361; 1, 128)";13;8,95556;8976774
"C(362; 1, 166)";13;8,96676;9185748
"C(363; 1, 25)";13;8,9779;8640553
"C(363; 1, 29)";13;8,9779;8640553
"C(365; 1, 27)";13;9;8609897
"C(366; 1, 170)";14;9,0137;7364136
"C(367; 1, 114)";14;9,02732;9126418
"C(367; 1, 132)";14;9,02732;9126418
"C(368; 1, 86)";14;9,04087;7447311
"C(369; 1, 80)";14;9,05435;8134141
"C(369; 1, 143)";14;9,05435;8134141
"C(370; 1, 58)";14;9,06775;7610541
"C(371; 1, 56)";14;9,08108;8680413
"C(372; 1, 142)";14;9,09434;7530967
"C(373; 1, 79)";14;9,10753;9198881
"C(373; 1, 85)";14;9,10753;9198881
"C(374; 1, 114)";14;9,12064;8126205
"C(375; 1, 133)";14;9,13369;8383784
"C(375; 1, 172)";14;9,13369;8383784
"C(376; 1, 30)";14;9,14667;8073066
"C(377; 1, 26)";14;9,15957;9332185
"C(378; 1, 26)";14;9,17241;7743998
"C(378; 1, 28)";14;9,17241;7743998
"C(378; 1, 80)";14;9,17241;7743998
"C(378; 1, 82)";14;9,17241;7743998
"C(378; 1, 134)";14;9,17241;7743998
"C(378; 1, 136)";14;9,17241;7743998
"C(379; 1, 28)";14;9,18519;9581972
"C(379; 1, 176)";14;9,18519;9581972
"C(380; 1, 118)";14;9,19789;8290718
"C(381; 1, 89)";14;9,21053;9253218
"C(381; 1, 137)";14;9,21053;9253218
"C(381; 1, 177)";14;9,21053;9253218
"C(382; 1, 148)";14;9,2231;9121954
"C(383; 1, 60)";14;9,2356;10409985
"C(383; 1, 83)";14;9,2356;10409985
"C(383; 1, 103)";14;9,2356;10409985
"C(383; 1, 119)";14;9,2356;10409985
"C(384; 1, 58)";14;9,24804;8887016
"C(385; 1, 90)";14;9,26042;9794208
"C(385; 1, 147)";14;9,26042;9794208
"C(386; 1, 88)";14;9,27273;9212011
"C(387; 1, 82)";14;9,28497;9592658
"C(387; 1, 118)";14;9,28497;9592658
"C(387; 1, 150)";14;9,28497;9592658
"C(388; 1, 178)";14;9,29716;9138785
"C(389; 1, 31)";14;9,30928;10631768
"C(389; 1, 51)";14;9,30928;10631768
"C(389; 1, 61)";14;9,30928;10631768
"C(389; 1, 138)";14;9,30928;10631768
"C(391; 1, 27)";14;9,33333;10583438
"C(391; 1, 29)";14;9,33333;10583438
"C(391; 1, 53)";14;9,33333;10583438
"C(391; 1, 59)";14;9,33333;10583438
"C(392; 1, 27)";14;9,34527;9321853
"C(392; 1, 29)";14;9,34527;9321853
"C(392; 1, 83)";14;9,34527;9321853
"C(392; 1, 85)";14;9,34527;9321853
"C(392; 1, 139)";14;9,34527;9321853
"C(392; 1, 141)";14;9,34527;9321853
"C(392; 1, 182)";14;9,34527;9321853
"C(393; 1, 27)";14;9,35714;12804927
"C(393; 1, 29)";14;9,35714;12804927
"C(393; 1, 122)";14;9,35714;12804927
"C(393; 1, 150)";14;9,35714;12804927
"C(394; 1, 106)";14;9,36896;10157397
"C(395; 1, 90)";14;9,38071;11485405
"C(395; 1, 140)";14;9,38071;11485405
"C(397; 1, 52)";14;9,40404;11583309
"C(397; 1, 84)";14;9,40404;11583309
"C(397; 1, 105)";14;9,40404;11583309
"C(397; 1, 121)";14;9,40404;11583309
"C(398; 1, 54)";14;9,41562;10351047
"C(399; 1, 183)";14;9,42714;12254452
"C(401; 1, 32)";14;9,45;71847659
"C(403; 1, 26)";14;9,47264;87984471
"C(404; 1, 26)";14;9,48387;78521737
"C(405; 1, 30)";14;9,49505;81041227
"C(406; 1, 28)";14;9,50617;79800549
"C(407; 1, 28)";14;9,51724;87509924
"C(409; 1, 110)";14;9,53922;88313552
"C(411; 1, 87)";14;9,56098;85377088
"C(412; 1, 54)";14;9,57178;83518074
"C(413; 1, 56)";14;9,58252;90364057
"C(415; 1, 90)";14;9,60386;90589180
"C(416; 1, 110)";14;9,61446;78513647
"C(417; 1, 150)";14;9,625;79992452
"C(418; 1, 196)";14;9,63549;90802250
"C(419; 1, 27)";14;9,64593;108684649
"C(421; 1, 29)";14;9,66667;105024280
"C(422; 1, 196)";15;9,67933;94404975
"C(423; 1, 150)";15;9,69194;103363364
"C(424; 1, 114)";15;9,70449;97231983
"C(425; 1, 90)";15;9,71698;107836263
"C(427; 1, 56)";15;9,74178;110584142
"C(428; 1, 58)";15;9,7541;106759568
"C(429; 1, 93)";15;9,76636;98403108
"C(431; 1, 114)";15;9,7907;119079079
"C(433; 1, 32)";15;9,81481;120719331
"C(434; 1, 28)";15;9,82679;104119771
"C(435; 1, 28)";15;9,83871;115071901
"C(436; 1, 30)";15;9,85057;109786549
"C(437; 1, 155)";15;9,86239;125601825
"C(438; 1, 136)";15;9,87414;106767275
"C(439; 1, 93)";15;9,88584;126509295
"C(440; 1, 156)";15;9,89749;107035028
"C(442; 1, 58)";15;9,92063;94259895
"C(443; 1, 60)";15;9,93213;101436848
"C(444; 1, 94)";15;9,94357;88175318
"C(445; 1, 160)";15;9,95495;100062481
"C(446; 1, 118)";15;9,96629;95012127
"C(447; 1, 33)";15;9,97758;99545145
"C(448; 1, 210)";15;9,98881;97941617
"C(449; 1, 29)";15;10;110610544
"C(450; 1, 29)";15;10,0111;95305136
"C(451; 1, 29)";15;10,0222;111053489
"C(452; 1, 98)";15;10,0333;102439931
"C(453; 1, 84)";15;10,0442;107872078
"C(454; 1, 86)";15;10,0552;104681417
"C(455; 1, 200)";15;10,0661;111380700
"C(456; 1, 164)";15;10,0769;100606583
"C(457; 1, 62)";15;10,0877;117158052
"C(458; 1, 60)";15;10,0985;109978855
"C(459; 1, 87)";15;10,1092;113675765
"C(460; 1, 34)";15;10,1198;107098287
"C(491; 1, 93)";16;10,449;175244351
"C(493; 1, 155)";16;10,4715;200098815
"C(494; 1, 34)";16;10,4828;186946194
"C(495; 1, 30)";16;10,4939;184056870
"C(496; 1, 30)";16;10,5051;186378586
"C(497; 1, 32)";16;10,5161;193549188
"C(499; 1, 132)";16;10,5382;193261741
"C(501; 1, 93)";16;10,56;189741642
"C(502; 1, 68)";16;10,5709;186004776
"C(503; 1, 66)";16;10,5817;202448505
"C(505; 1, 90)";16;10,6032;204739949
"C(506; 1, 136)";16;10,6139;196798637
"C(507; 1, 96)";16;10,6245;197605757
"C(508; 1, 236)";16;10,6351;189751243
"C(509; 1, 35)";16;10,6457;209285079
"C(511; 1, 31)";16;10,6667;199379904
"C(512; 1, 31)";16;10,6771;205012183
"C(513; 1, 31)";16;10,6875;219406339
"C(514; 1, 120)";16;10,6979;204353749
"C(515; 1, 90)";16;10,7082;224874141
"C(516; 1, 92)";16;10,7184;197306672
"C(517; 1, 98)";16;10,7287;231360655
"C(518; 1, 60)";16;10,7389;207066919
"C(519; 1, 62)";16;10,749;219254880
"C(520; 1, 152)";16;10,7592;204195453
"C(521; 1, 91)";16;10,7692;230654267
"C(522; 1, 214)";16;10,7793;201964443
"C(523; 1, 36)";16;10,7893;236166667
"C(524; 1, 184)";16;10,7992;220378087
"C(525; 1, 30)";16;10,8092;217103446
"C(526; 1, 30)";16;10,819;217118685
"C(527; 1, 34)";16;10,8289;236552859
"C(528; 1, 32)";16;10,8387;190942884
"C(529; 1, 32)";16;10,8485;213322693
"C(530; 1, 188)";16;10,8582;192003899
"C(531; 1, 124)";16;10,8679;233079372
"C(532; 1, 220)";16;10,8776;230177019
"C(533; 1, 95)";16;10,8872;260234219
"C(534; 1, 158)";16;10,8968;225280674
"C(535; 1, 62)";16;10,9064;259795468
"C(536; 1, 64)";16;10,9159;242652309
"C(537; 1, 157)";16;10,9254;252365765
"C(538; 1, 94)";16;10,9348;242710861
